"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"236","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","excellent hobby introduction","enrico","if youve always liked the looks of these models but been daunted by talk of tools and sanding and whatnot this is a great introduction to the hobby the instructions are clear and easy to follow and assembly of the actual model is easy if you can build something with lego then this will be no problem for you",2023-02-23,4,"verified purchase"
"237","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","brilliant kit to start off with and pass some time","wario wuzo","as my first kit i learnt a lot from making it its a fun build to pass  minutes it all snaps together lovely and poses well the only issue ive had with it was minor where one of the knee plates falls off very easily but the biggest problem with it is its made me addicted to these things",2021-01-25,5,"verified purchase"
"238","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)",NA,"gary",NA,2023-10-09,1,"verified purchase"
"239","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)",NA,"gandalf",NA,2022-01-24,5,"verified purchase"
"240","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","gunpla model kit","gandalf","ho acquistato questo model kit come prima esperienza con un gunpla mi piaceva il design di questo mobile suit il bandai model kit  composto da diverse parti colorate e snodate che permettono di assemblare il modello senza bisogno di colla o vernice  il modello finito ha una buona posabilit e stabilit e si pu esporre su una base apposita non inclusa il livello di dettaglio e realismo  molto buono e il modello rispecchia bene le proporzioni e le caratteristiche del gundam originale il montaggio  facile e divertente seguendo le istruzioni chiare e illustrate fornite da bandai il prodotto  adatto sia ai principianti che ai modellisti esperti ed  un ottimo regalo per gli amanti dei robot giapponesi sono molto soddisfatto dellacquisto e lo consiglio a tutti i fan di gundam",2023-03-16,5,"verified purchase"
"241","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","nice with colour and quality","stan the man","nice to retrieve child memory",2021-11-07,4,"verified purchase"
"242","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","as described","brian","great product fun easy build better if you are customizing it or practicing before moving up to higher gradesthe extra weapons are a cherry on topand for the price i would say give it a try",2023-10-13,4,"verified purchase"
"243","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","ottimo per chi inizia","alessio cantarelli","certe volte basta un ottimo risultato conseguito in maniera semplice per trovare lo spirito giusto per continuare a fare pratica imparare e diventare via via pi esperti e pi sicuriquesto  il modellino perfetto per iniziare a fare modellismo semplice da montare ma molto carino una volta completato",2022-08-24,5,"verified purchase"
"244","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","entretenido","mariano monroy mtz","por el tamao se comprende el precio y la cantidad de piezas sin embargo lo interesante de la lnea es que hay ms kit qu complementan a la misma figura una excelente opcin si apenas se comienza con el tema de los modelos kit",2022-06-05,5,"verified purchase"
"245","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","hermoso ","mariano monroy mtz","todo el proceso de armado y la satisfaccin de terminarlo es una experiencia nica y adictiva ",2023-12-27,5,"verified purchase"
"246","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","good model but there are some issues","emmanuel lopez aguirre","i got the strike gundam it was fun to put to together but i had some issues getting it to pose right the torso keeps popping off from the waist and the legs really really dont want to move at either the hips or the feet honestly itd be nice if the torso of the strike gundam connected to the waist like the rx gundam does in my opinion the rx has a superior construction in contrast maybe changing the tolerances for the ankle and hip pieces would help with posing and changing the construction of the strike gundams torso would keep it from popping out so often however it was fun to build and the parts arent too difficult to remove from the runners the plastic is durable i almost broke one of the gray accents for the knees but i was able to bend it back into shape",2023-08-22,5,"verified purchase"
"247","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","perfetto","emmanuel lopez aguirre","tutto perfetto",2022-10-08,5,"verified purchase"
"248","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","buono","donovan olsen","ottimo modello super facile da montare articolazioni ottime anche come ragalo  una buona idea per appassionati",2023-03-18,5,"verified purchase"
"249","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","good model but smaller than i though","andrea","bought this for my sons st jump into model making and the quality of the kit and how it looked with the combination of different coloured plastic is excellent you dont need to have any tools but a file and some clippers makes it much easier to put together only gripe is that when its all done the model is only about  inches tall which my son found a little disappointing but for the cost you can see why",2022-11-10,4,"verified purchase"
"250","bandai hobby kit entry grade 1/144 rx-78-2 gundam (3l)","ottimo prodotto","vincenzox"," stato molto facile da montare poich e strutturato molto bene e le istruzioni sono di facile comprensione anche se manca la lingua italiana",2023-08-03,5,"verified purchase"
"251","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure",NA,NA,"verka",2023-08-03,4,"verified purchase"
"252","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","bello ma c di meglio","fabrizio","modellino bellissimo divertente da montare avevo gi preso una versione verka e speravo che fosse solo un caso di quel modellinoinvece il modellino  molto bello ma una volta arrivato al punto di andare ad applicare i vari stampini ecco i problemi gli stampini sono stampini ad acqua quindi bisogna bagnarli per riuscire a toglierli dalla loro posizione e per poterli applicare poi bisogna passare del cotone tamponato leggermente per asciugarli il problema  che una volta completamente asciutti iniziano a staccarsi e a venire via uno ad uno come se fossero delle foglie secche non riesco a capire il perch di questa cosa sarebbe pi facile con degli normali stampini come hanno moltissimi modellini simili quindi purtroppo per la seconda volta di fila il mio gundam  rimasto completamente spoglio per il futuro eviter le versioni verka",2022-12-04,5,"verified purchase"
"253","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","hermoso","yazid moranchel","simplemente hermoso las alas son bellsimas capta tal cual la serie vale totalmente la pena",2024-02-21,2,"verified purchase"
"254","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","mgew     ","airwolf","amazon ewmgverkaw endless waltz gffmcewovaw endless waltzhirmgffmcmggffmcmgmgmgtvkpsabsrxmgkkkamghmmdaisomm ewbb i      mgmsh   ewbjewewovapgmgmg verkaew  mgewmgtvinfinity hg    agaag mmammbjmg    gffmcmggffmcmgmgmgmggffmcmgmg    msztvewtvew   hirmgffmcmg verkaewhirmgffmcmg verkamg verka    j d dd  jmsccc",2020-11-28,5,"verified purchase"
"255","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","excelente","jl","de acuerdo con la descripcin completo y sin daos llego antes de la fecha mnima ofrecida",2024-02-05,4,"verified purchase"
"256","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","well made kit","jl","fast professional transaction excellent packaging",2023-12-21,5,"verified purchase"
"257","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","great build","robert g smith","its great for beginners or someone who doesnt have much experience with  scale",2021-06-03,5,"verified purchase"
"258","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","beautiful build","ethan sallows","the finished product before the waterslides is very beautiful  this was worth every penny  it was relatively easy to build although i had issues with the arms holding weight any weight and issues with the red waist belt not wanting to go all the way around as well as some pieces like the blue arm bands just kinda sliding loosely over the armor  but once completed its a beautiful addition to my  mg gunplas  this was the nd verka gunpla i have ever built  i would and have recommended this one to anyone wanting a  mg wing zero custom for their collection",2023-07-18,5,"verified purchase"
"259","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","un modelo digno de alabanza","james","es a mi parecer el mejor modelo del gundam wing la escala mg es perfecta para que los detalles resalten y los gimmick funcionenel nico detalle es que no vuela por eso decid regalrselo a mi abuela a ella le fascinlo coloc en un altar junto a sus dems santos dice que es el san miguelito ms hermoso que jams a tenido le prende su veladora todos los das",2022-04-25,5,"verified purchase"
"260","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","great for endless waltz fans","james","this is by far one of my favorite gundams when i first saw the anime i enjoyed every second building it mind you some pieces are small so be careful where you build it im fairly average when it comes to building gundams but i recommend it for beginners and its worth every single dollarit also comes with a stand so thats a huge bonus",2021-05-13,5,"verified purchase"
"261","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","mgka",NA,NA,2023-01-17,4,"verified purchase"
"262","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","best wing zero kit ever","vk","god dam this is is incredible  best wing zero kit ever can even hold up his twin buster  would recommend it",2021-04-22,5,"verified purchase"
"263","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","llego perfecto","luis","el paquete llego perfecto solo un poco golpeada la caja en que lo mandaron pero la caja original y las piezas llegaron bien tardo al rededor de  das en llegar hasta mxicovendedor recomendado",2023-07-21,5,"verified purchase"
"264","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","recomendado","luis","se lo compre a mi esposo y le encanto",2024-02-05,5,"verified purchase"
"265","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","greatest kit ever","sus","take your time with this one my only regret is starting out with this because if it were my second or third id know to cutsand out the nubs before building it this is extremely fun to build and honestly the most majestic kit youll ever find",2023-03-15,5,"verified purchase"
"266","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","el mejor gundam","amazon customer","simplemente compralo vale la pena cada maldito centavo es super genial y detallado",2023-02-23,5,"verified purchase"
"267","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","a good gift for fans","cliente de amazon","bought this for my brother and was not disappointed arrived in excellent condition with all components intact having built a few of these i can assure who ever is going to buy this is going to enjoy it especially if they are patient and take their time building it",2021-03-28,5,"verified purchase"
"268","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure",NA,"sankalp",NA,2022-11-12,5,"verified purchase"
"269","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","its a masterpiece","amazon ","edit  month ownership review one of the left wings broke right off i managed to pick at it and make it still poseable but its very limited it was amazing at first but its just a bit too flimsy whenever i want to play around with it and put it in a pose it becomes a chore and parts always fall off still looks incredible but gonna lower my rating because of how delicate it isthis thing is an absolute masterpiece its enjoyable to build and the level of detail and intricacies are amazing its easy too so id say its beginner friendly as well since its only my second ever gunpla and my first master grade lots of articulation and comes fully equipped with the twin buster rifles  beam sabers and the shield you can even store the buster rifles in the wings for tons of variation in posesthe only issue i had was that a part on the gauntlets that attaches to the shield was a bit looser than i liked and the stand is a bit flimsyalso it comes with waterslide decals so if youre planning to apply those i highly suggest getting some sort of adhesiveglue water itself doesnt work well and zero is shedding decals like a dog sheds fur since theyre so small its hard to find them again once they do fall off this was easily the most frustrating part of the build legit spent almost  days just applying the decals im a noob when it comes to gunpla so i thought water would be sufficient but ill probably get some adhesive next time also would suggest applying the decals after you finish each part individually so its easier instead of doing it once the whole thing is builtother than that though it still looks amazing without the decals and overall its just magnificent love seeing wing gundam zero in the iconic twin buster rifle pose with the wings flared sitting on my desk",2021-06-11,5,"verified purchase"
"270","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","good but not perfect","rak","its an almost completely solid kit the use of abs plastic definitely helped out with some of the parts though not all parts that should have been molded in abs were that small issue is what keeps this kit from being perfect for me i have broken many of the pieces that peg into the backpack to support the main wings but a friend and i will modify replacement parts i got for it by drilling a small hole into the peg and slotting in a small brass rod if that works ill update my review for this kit to reflect that and add a few pictures of it as well if i can do that also side note the reason that youll see different colored hands on mine vs everyone elses is the fact that i had to get another mg proto zero to finish up that build as i broke one of the hinges for the wings and took the fingers and palms from the extra mg proto zero",2023-01-26,5,"verified purchase"
"271","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","magnfico","jonathan ortega","es el modelo que estaba buscando  el envio llego mas rpido de lo que esperaba muy contento con el tiempo de entrega el paquete llego en buenas condiciones la caja del modelo se ve nueva y en buen estado y esta completo el kitmuy satifecho con la compra ya solo falta armar el robot",2021-03-26,4,"verified purchase"
"272","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","wing zero custom ew is top tier gunpla","jonathan ortega","i have not built those masterpeices that sell for  plus but this has always been my favreotie out of all the entire universe this and sazabi of course but this is number  its liek a drema puttign him together an di cannot wait for my next one",2023-10-24,5,"verified purchase"
"273","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","one kit i cant get off my small display shelf","david","what i like most is how the box came bubble wrapped and in a box protected perfectly  the kit is self is beautiful and some complex with so much detail i enjoy this kit out the few mg kits i own because when i get tired of its poses i can transform it to bird mode and its the only kit i never remove from my small space display case  its price its really high compared to what ive seen some some other sites but they are always sold out  even for the high price i would buy again",2023-05-06,5,"verified purchase"
"274","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","this thing is absolutely gorgeous","ryan cabrera","the color separation is amazing the articulation and posing are fantastic the wings hold themselves up surprisingly well but you will need to use the stand if you want to do any kind of posing because theyre too heavy for the kit to stand up on its own im not really a fan of gundam wing but this is a beautiful kit and im glad to own ita quick note the top wings have a gimmick which opens the feathers on opposite sides when you pull them out they need to be aligned correctly before you sandwich the top and bottom wing parts together on my first wing i had them a couple notches off so they didnt close properly and i had a real pain getting the wing back apart againso its not the easiest kit in the world but its not terribly difficult either if youre a total beginner i would recommend going with a high grade like the rx origins or revive models but this is a kit that any gunpla collector would be proud to have in their collection",2021-12-24,5,"verified purchase"
"275","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","one of the best","james howard","still amazing looking gpla or notnot for beginners at all even experienced model kit builders new to gpla should apply caution due to the many moving parts it really pays to take your time with it especially if you intend to airbrush",2023-05-01,5,"verified purchase"
"276","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","bussin bussin","james howard","its so bussin bussin so good no cap",2023-07-16,5,"verified purchase"
"277","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","wing gundum","kindle customer","fast delivery good quality",2023-06-22,5,"verified purchase"
"278","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","gorgeous but a little trickey","no cap bussin bussin","i mean if you know gunpla you already know what to expect here if you dontmaster grades arent a good beginners spot especially ver ka models theres a few finicky parts i really had to fight with the arms to get them to stay on properly and the shield is still kinda a painit looks utterly gorgeous though and thankfully includes a base those wings are heavy  comes with a ton of waterslides although i probably wont use them i like my kits without a bunch of lines and lettering all over the weapons look great especially the twin buster rifles and the wings are fantastic great range of motion and color separation already one of my favorite mg kits",2021-05-27,5,"verified purchase"
"279","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","crushed box","kay k iwanaga","i bought this gundam model for my boyfriend for his birthday he loved it its beautiful the box had the original strapping on it to ensure nothing was missing in the box however the box it came in was crushed on all sides which upset him as a gundam model maker and collector he saves all of his boxes for display he almost returned it because of this reason the amazon box that the gundam box was shipped in was in perfect condition so the damage must have happened at the wearhouse he is not sure if he wants to order another gundam model from amazon ever again because of this problem",2021-07-21,5,"verified purchase"
"280","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","loved the old one before loved the new one more","tom h","one of my criticisms ever since seeing endless waltz is that they ripped the neo bird mode from this version of wing zero the verka solved that issue even though there was a more expensive frozen teardrop version that did so beforebut verka in addition to the neo bird mode and twin buster rifle storage is a lot more detailed compared to the original zero ew mg in fact i dare say a full on improvement the only thing is i cant seem to stand verka on its own compared to the older one had a lot of fun and a fitting way for me to ring in the new year with it",2021-01-03,5,"verified purchase"
"281","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","good build even better display","jude","decided to take my chances on amazon and buy this gundam and wasnt disappointed i was worried that i might get a different product due to the many onestar reviews of people saying that they have gotten one in the past but overall i got lucky and got what i paid for and figured i could always return it if its not what i wantedalso the gundam also looked smaller compared to the other two gundams i bought but the stand made up for it in the height difference",2021-07-20,4,"verified purchase"
"282","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","amazing design","jude","wing zero ew is always one of my favorite gundams katoki ver adds more details to the mech design making this old guy sooooooo cool and fashionable the most challenging part is the water decal  pieces while being extremely fragile so you need tons of patience and some addons to protect them overall worth the effort and i am pretty happy with this kit",2022-05-10,4,"verified purchase"
"283","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","love it not much else to say ","stonezhang","ok so ive been building these condoms for years now and by far this one has given me the most trouble not so much  but i deafly dont recommend it for beginners i would recommend it for someone who at least has done  to  of these projects before better regards to quality this is by far also one of the best",2022-03-09,4,"verified purchase"
"284","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","amazing","stonezhang","this is my first gunpla and im so glad i had the chanse to buy it people who says its fake or a tamashii nations figure is full of  this is a legit bandai mg kit of a wing zero ver ka it took me  nights to build it and was an amazing experience if you want this kit dont hesitate its a absolute win im heading now for an rg sazabi which people says is the best rg kit around by now",2021-06-19,5,"verified purchase"
"285","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","exceeds expectations","javier barajas","this is just a preliminary rating to affirm that not only did it arrive ahead of schedule but it was also indeed a mg model kit and not an action figure as some other reviewers have received this is a monstrous model that has nice thick and large peices once nice thing is that there is english translation for the instructions which is very nice it also comes with two action bases for posing which many others do notill update once ive completed the model with pics in the near future",2021-01-08,5,"verified purchase"
"286","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","great kit and an amazing update for the old mg","luis felipe salazar bedoya","great kit for all gundam wing fans the build is surprisingly straightforward not complicated and the improved wings and buster rifles allow for amazong poses use a nipper for trimming the parts and the only complicated part are the water slide decals a good plus is that it includes an action base",2022-02-10,5,"verified purchase"
"287","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","beautiful shelf presence for mainly  builders","luis felipe salazar bedoya","almost perfect entry point for beginners to the verka line fairly easy to assemble i was only confused once during the build took me  days to complete the snapbuild no panel liners only hobby knife and nippers were used for the build and theres only one seme line thats visible and not hidden as a mechanical detail so its perfect for out of box builders sidenote i highly recommend picking up some clear green paint foil stickers arent as good as youd expect from a modern mg",2021-01-03,5,"verified purchase"
"288","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","beautiful kit","dave kemerer","found this for a great price these are getting rarer to find ever since the surge in popularity this was the last one i needed for a complete set of the endless waltz variants arrived ahead of schedule and in great condition",2022-04-08,5,"verified purchase"
"289","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","one of the most beautiful redesigns of one of the best designs in the gundam franchise","fernando daz","wing zero is easily one of the most beautiful most iconic designs in the gundam franchise and one of my all time favorites this redesign is just epic minor criticism if any would be the reliance on foil seals i liked how the older mg proto zero gave the choices of either green plastic or foil seals instead of just plain clear parts",2021-01-23,5,"verified purchase"
"290","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","niceeeeeee","fernando daz","verka holds itself up better joints seem to be tighter and is great for posing the sticker applying process didnt make me want to slam my head through a table build time was about  hours and the sticker application was about the same all in all im very pleased and am definitely going to be getting all the mg gundam wing kits especially available verka",2021-04-26,5,"verified purchase"
"291","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","exactly as described very satisfied","nanaki","let me preface with i originally built the earlier versions of these models over time they were either lost or given away this model is a beast comparatively the instructions were pretty clear the pieces were sturdy i spent my time building this as its more a leisure hobby for me fully poseable great stand that comes with it",2021-07-06,4,"verified purchase"
"292","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","not for beginners but good kit","jaren","great kit a bit more time consuming to do so as of now only half of it is built due to me not having the time i wouldnt recommend it to a beginner as the parts need to be snipped out other than that you have to be a bit gentle or youll break some pieces",2021-07-02,5,"verified purchase"
"293","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","pretty fun build","charles","as it would go this one is very strain forward wings were a bit finicky to place overall the build was fun the paneling was also easy to custom and detail",2021-12-22,5,"verified purchase"
"294","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","buy it","george","this is a top tier kit for sure loved putting it together loved the final outcome didnt yet add water slides because i plan on painting this eventually",2021-11-10,5,"verified purchase"
"295","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","some parts are loose","nemesis","really enjoyed assembling but some parts are loose and does not hold together good thing they invented the super glue",2022-01-14,5,"verified purchase"
"296","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","great build","venessa rojas","this was my first ever build i had a great time didnt rush it the pieces are very good quality the built model is very sturdy can stand on its own even with the wings on would recommend to anyone not just for kids",2021-03-12,4,"verified purchase"
"297","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","my second gundam","venessa rojas","this thing is beautiful and i didnt finished building yet  have so many part and is really fun good quality plastic parts i really recommend this model",2021-09-03,5,"verified purchase"
"298","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","love this kit","ellyn","this kit is amazing if you can get your hand s on it",2022-04-12,5,"verified purchase"
"299","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","buy it now","ellyn","best wing zero ever made puts my pg to shameit had one flaw on both my one and my brothers kit and that is the vent on the lower left chest always falls off for some reason  kits same defect",2021-02-17,5,"verified purchase"
"300","bandai hobby 1/100 scale mg wing gundam zero ew ver.ka action figure","good build","alex rivera","love it was my second build have no complaints with the delivery lots of fun",2022-03-01,5,"verified purchase"
"301","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","uno dei kit pi belli di sempre","antonio","gundam wing  una delle poche serie giunte fino in italia e sebbene rovinata da un doppiaggio atroce ha regalato alcune immagini iconiche agli appassionati di anime giapponesidirettamente dallova endless waltz il wing zero custom  sicuramente uno dei gundam pi caratteristici con le sue grandi ali angelicheil kit  di classica qualit bandai con pezzi ben profilati e incastri solidi imprescindibile tuttavia un minimo di conoscenza base sui gunpla e gli strumenti necessari tronchesi da modellismo e bisturi per rifiniture nonch tanta pazienza la scala  implica pezzi molto piccoli e delicati nonch microscopici adesivi che richiedono obbligatoriamente delle pinzetteincantevole ma non per principianti del modellismo pressoch obbligatorio lacquisto di una basetta da posa action base in quanto le ali sbilanciano allindietro il modellino",2019-08-16,4,"verified purchase"
"302","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","increible","antonio","producto perfecto a su descripcin magnifica calidad y perfecto reparto",2019-12-04,5,"verified purchase"
"303","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","daumenhoch","cliente amazon","super gunpla hat sehr viel spass gemacht ihn zu bauen",2019-04-25,5,"verified purchase"
"304","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","exelente","niels bhm","es de la mejor calidad muy bien el embalaje lleg impecable",2023-09-28,5,"verified purchase"
"305","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","parfait","pablo","parfait",2018-08-29,5,"verified purchase"
"306","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","first gunpla kit in almost  years","pablo","excellent kit even for someone like me who has been out of the hobby for a long timebe aware that there are some difficult steps in the assembly process most notably head assembly and decal application to the headhowever overall this is a great kit would absolutely recommend a quality pair of nippers some fine tipped forceps and a spudger of some kind to help pull pieces apart in case of incorrect assemblyinstructions are in japanese but the diagrams are good enough that i was able to follow them relatively easilytotal assembly time roughly  hours give or take hard to quit once you get going",2023-02-19,5,"verified purchase"
"307","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","molto particolareggiato","client damazon","non  il primo modellino in cui cimento ma  il primo gundam devo dire  molto dettagliato snodabile e posabile anche senza la base che naturalmente va comprata a parte circa  cm di altezza scala  quindi un po pi piccolo rispetto ai robot della serie infinitism cui mi sono dedicato sino ad oggi serie mazinga  e grendzinger ma con una resa decisamente apprezzabile come mi piace dire bandai non delude mai",2021-04-06,5,"verified purchase"
"308","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","awesome","james murphy","excellent model arrived early its sitting on the top shelf of my bookcase and looks great did have to glue some pieces as they didnt snap on properly but that was ok the hands are tricky to snap in but an easy way to fix that is take the hands and the arm without the armor and detach and reattach and twist the hands a couple of times when i put the armor on the arms and put the hands back on they snapped in easily",2016-01-30,5,"verified purchase"
"309","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","gundam perfecto","james murphy","tras dos semanas de espera lleg en perfectas condiciones bien empacado y en el tiempo pactado es una maqueta hermosa totalmente recomendada es muy bonito y ms para todos los que amamos este hobby",2020-07-25,5,"verified purchase"
"310","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","really good kit not advisable for first time builders","cliente amazon","the kit was really well made the joints held up pretty welldidnt like the stickers that much was pain in the ass to apply especially the eyesi am really grateful for the speedy delivery it arrived earlier than the expected  nice kit overall",2020-03-05,5,"verified purchase"
"311","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","great and detailed kitbut","florian schulze","a great and detailed kit its really detailed and allbut the hands cant connect to the joints because the armguards are to bulky gotta have to grind that down maybe itll fit after some adjustments so i have to deduct star i kinda want to deduct even one more because the package took for ever to get here i waited a whole month orderd it on the th of june it came on the th of july but the product is not at fault so i cant really deduct any points for itit was my first true gundam and i really enjoyed it i still have a lot to do like finishing the weapons and applying the stickers but nontheless quiet a fun kit",2019-07-30,4,"verified purchase"
"312","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","great model","tom","a wonderfully detailed and easy to assemble rg doesnt even need much panel lining as it may detract from the overall pearl appeal decals were easy to place and overall a wonderful kit my only gripe is the chest decal sticker the green metallic effect rubbed off way to easily and was left with the clear coating of the sticker i recommend putting it on last after the mobile suit is finished rather then follow the book and put it on immediately after building the chest outside of that easily recommend",2022-09-05,4,"verified purchase"
"313","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","really fun solid kit shipped with little care","kaijala","very nice kit that is fun to make and looks really good buy a stand for this kit and youll have a great solid display piece the wings are sturdy and fun to position the kit is simple for a rg and stays together perfectas usual amazon put no thought into the packaging so the box was a bit crushed typical business",2020-09-02,4,"verified purchase"
"314","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","boite lgerement abim","cyth","carton denvoi qui ne protgeais pas suffisamment ou carton dj abim lors de lenvoisinon rien a redire sur le produit qui est super",2017-07-31,4,"verified purchase"
"315","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","de buena calidad","erick escarrega monge","mi primero gunpla esta bastante bonito y se siente de calidad xd",2023-05-04,4,"verified purchase"
"316","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","estupendo","sergio","lleg hoy tras  semanas y  das casi  semanas antes de lo que deca la web an cuando era en correo ordinario y las fechas que eran estaba el paquete bien envuelto y protegido idntico a las fotos del artculo su montaje es sencillo solamente hay que tener unas pequeas tijeras o cutter y una lima de uas para dejar las piezas sin ninguna rebaba por lo dems solamente es tener paciencia y seguir las instrucciones para montar la figura no uses pegamento a no ser que quieras que esa parte quede al  fija",2015-12-16,4,"verified purchase"
"317","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","best toy ever for my son ","moishya","present for my son th birthday  a really good rg gundam cant believe that my son could build an rg kit because he usually build hg kits really satisfied with this reliable brandbandailooks fabulous really detailed and good qualitytip is need a gundam building kit to build itwould recommend this to gundam fans and for people who love building model kits",2018-01-23,5,"verified purchase"
"318","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","ottimo","moishya","primissimo gunpla che acquisto molto facile da montare essendo un rg molto bello esteticamente e scheletro dotato di ottima snodabilit uniche pecche sono la fragilit di questultimo supporta pochissimo il peso delle ali e qualche pezzettino e risultato difettoso sulle braccia ho dovuto togliere un pezzo dellarmatura perch impedivano il collegamento delle manispedizione topil prodotto  arrivato con largo anticipo  giorni dopo aver effettuato lordine",2020-04-28,5,"verified purchase"
"319","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","great build","lorenzo","i love this gundam",2021-05-05,5,"verified purchase"
"320","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","super","lorenzo","super",2020-01-11,4,"verified purchase"
"321","bandai 1/144 rg xxxg-00w0 wing gundam zero ew model kit","what a fun build","jose castaneda","custom painted mine my first full paint fun build now im hooked on these models",2023-10-18,4,"verified purchase"
