"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"53","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","probably the most solid master grade kit ive ever built","gary hood","package came exactly as i had expected fresh off a shelf in an expedient and undamaged manner  every piece was in the kit all was intact no pieces breaking in transit  the kit itself is definitely not an introductory kit by any means and requires plenty of attention due to a number of similarlooking parts that are only visibly different if you look really close  with that said this kit is exceptionally sturdy where most of my other master grades fail to be save for one small issue  the peg ends for the ammo belt do need to be superglued to the bendy wire that serves as the spine for the belt its exceptionally easy for the wire to slip out and then youd need to take it apart just to fit the wire back in  beyond that issue the kit is extremely solid and surprisingly articulate and lithe  which is rather hilariously the same thing i said about heavyarms itself in the show  overall a very worthwhile purchase especially for the price  the sturdiness alone makes it feel like a kit worth twice what youre paying",2022-08-30,5,"verified purchase"
"54","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","trs bien","b","trs bien",2020-03-31,5,"verified purchase"
"55","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","just buy me already","james c","my first master grade kitand boy what a kit tones of articulation various flaps  hatches just oozes that ott manga style of a massive doom robot solid model once built really poseable freestanding spent the best part of a week slowly building it in the evenings enjoyed it so much i have decided to collect the whole ew line fantastic supplier  have purchased from them many times now  cannot fauly them for speed  quality of service",2017-03-13,5,"verified purchase"
"56","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg",NA,"kuri",NA,2020-05-24,5,"verified purchase"
"57","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","perfetto  dire poco","matteo pisino","pacco arrivato prima del previsto con il contenuto imballato in maniera impeccabilese lo andavo a prendere io stesso in fabbrica si sarebbe rovinato di pi venditore consigliati asino e modello veramente stupendo",2015-10-28,4,"verified purchase"
"58","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","satisfecho","jose nava","mi primer mg y es totalmente satisfactorio verlo terminado",2020-09-29,5,"verified purchase"
"59","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","william vr kreukniet","jose nava",NA,2019-07-20,5,"verified purchase"
"60","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","good kit","william vr kreukniet","great kit one of my favourite all time gundams only issue is the gun is too heavy at times to pose with it also i would recommend painting the missiles in the missle pods",2018-06-04,5,"verified purchase"
"61","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","trs bien","client damazon","top arriv avant lheure bravo  lexpditeur trs bonne qualit du kit du par la taille mais l rsultat est parfait",2016-03-18,4,"verified purchase"
"62","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg",NA,"aacomo",NA,2017-01-12,5,"verified purchase"
